postcode,april_application_count,may_application_count,june_application_count
0800,406,426,415
0801,15,15,14
0810,772,786,791
0812,318,325,327
0820,746,762,751
0821,12,12,11
0822,185,202,209
0828,137,147,151
0829,42,43,46
0830,304,307,311
0831,14,14,15
0832,166,176,177
0834,55,60,60
0835,88,97,102
0836,192,204,214
0837,22,21,22
0838,27,34,35
0839,20,19,20
0840,12,12,11
0841,15,15,16
0845,12,13,13
0846,5,6,6
0850,175,181,177
0851,24,24,25
0852,48,56,53
0854,9,10,11
0860,23,25,27
0862,8,8,8
0870,577,598,596
0871,41,40,38
0872,55,56,57
0873,19,21,21
0880,34,30,33
0881,9,9,9
0885,8,8,8
0886,15,16,17
1230,12,13,12
1335,5,5,5
1340,10,10,10
1355,10,10,10
1470,6,5,6
1490,5,5,5
1565,10,10,10
1595,5,5,5
1655,5,5,5
1885,6,6,6
2000,10481,10885,10948
2001,36,38,39
2006,11,11,11
2007,532,542,557
2008,491,506,507
2009,890,920,929
2010,3014,3116,3118
2011,1196,1247,1255
2015,1303,1346,1352
2016,688,701,703
2017,953,992,1009
2018,894,908,920
2019,790,845,849
2020,839,859,863
2021,1042,1072,1093
2022,1313,1363,1365
2023,580,594,600
2024,614,640,659
2025,503,525,523
2026,2105,2184,2186
2027,543,572,576
2028,571,592,585
2029,671,694,702
2030,822,859,882
2031,1535,1594,1614
2032,457,478,485
2033,423,438,437
2034,861,895,900
2035,1432,1489,1491
2036,1166,1246,1273
2037,667,696,717
2038,513,532,535
2039,531,561,559
2040,1214,1265,1296
2041,931,1006,1014
2042,1070,1122,1129
2043,324,345,348
2044,562,582,587
2045,285,301,293
2046,1315,1381,1391
2047,640,674,672
2048,325,334,343
2049,482,507,506
2050,414,437,436
2052,8,8,9
2057,11,11,11
2059,12,12,8
2060,1760,1858,1889
2061,372,401,404
2062,349,361,355
2063,314,325,327
2064,704,729,746
2065,2018,2104,2126
2066,1433,1489,1482
2067,1999,2073,2090
2068,708,744,766
2069,667,710,722
2070,581,595,602
2071,504,521,524
2072,468,498,491
2073,714,750,744
2074,805,834,835
2075,900,947,953
2076,898,953,961
2077,1514,1592,1595
2079,198,218,221
2080,128,136,138
2081,168,189,189
2082,163,172,181
2083,88,87,89
2084,222,241,241
2085,528,556,562
2086,686,732,746
2087,529,565,565
2088,1399,1471,1486
2089,749,785,796
2090,560,596,595
2092,371,389,397
2093,1135,1208,1214
2094,251,274,276
2095,1047,1105,1093
2096,713,754,775
2097,728,773,787
2099,1872,1979,1998
2100,1715,1820,1859
2101,969,1044,1061
2102,543,560,564
2103,811,858,871
2104,182,195,194
2105,121,130,134
2106,611,645,651
2107,1094,1157,1190
2108,116,122,122
2109,10,12,10
2110,467,491,501
2111,758,815,817
2112,1311,1370,1376
2113,1077,1122,1145
2114,894,928,932
2115,402,428,447
2116,430,464,471
2117,762,791,799
2118,1046,1093,1115
2119,442,459,460
2120,755,806,804
2121,1068,1110,1120
2122,1290,1343,1356
2124,25,26,27
2125,643,684,698
2126,544,566,579
2127,811,849,853
2128,472,490,499
2129,34,35,36
2130,322,339,343
2131,748,774,766
2132,410,428,433
2133,403,414,421
2134,1077,1108,1116
2135,1086,1118,1129
2136,394,406,417
2137,1261,1326,1342
2138,738,783,790
2140,753,791,806
2141,1228,1274,1287
2142,1160,1189,1194
2143,411,421,439
2144,1920,1988,2056
2145,2566,2654,2695
2146,460,473,484
2147,1330,1402,1423
2148,2303,2392,2443
2150,1956,2044,2066
2151,846,870,881
2152,364,382,392
2153,2897,3058,3096
2154,1903,2012,2041
2155,2188,2309,2333
2156,645,685,700
2157,244,267,273
2158,556,570,575
2159,276,292,294
2160,1598,1650,1689
2161,1395,1446,1494
2162,675,706,720
2163,328,337,353
2164,1522,1608,1645
2165,1295,1321,1361
2166,1700,1744,1786
2167,225,232,240
2168,963,987,1003
2170,4070,4193,4293
2171,1140,1177,1220
2172,87,94,97
2173,294,300,299
2174,229,238,236
2175,151,162,167
2176,1387,1433,1452
2177,386,395,402
2178,235,251,259
2179,372,397,410
2190,1405,1444,1462
2191,253,263,269
2192,633,642,661
2193,614,635,641
2194,1139,1146,1176
2195,1521,1528,1575
2196,1507,1544,1590
2197,398,418,422
2198,300,314,316
2199,682,719,734
2200,2387,2463,2505
2203,428,445,450
2204,1520,1595,1611
2205,757,776,789
2206,823,846,851
2207,1002,1041,1071
2208,645,677,685
2209,559,581,580
2210,1229,1302,1321
2211,748,771,779
2212,687,716,717
2213,596,628,643
2214,244,263,261
2216,1251,1294,1313
2217,1230,1267,1283
2218,538,548,566
2219,544,579,581
2220,1490,1550,1567
2221,670,710,714
2222,375,388,387
2223,710,757,765
2224,647,677,685
2225,176,195,199
2226,363,378,385
2227,534,561,565
2228,952,1003,1017
2229,1875,1970,1996
2230,1462,1552,1581
2231,142,152,155
2232,1323,1387,1419
2233,787,864,875
2234,1041,1094,1117
2250,2741,2902,2927
2251,1227,1296,1315
2256,399,421,419
2257,929,998,1010
2258,192,203,206
2259,1794,1878,1916
2260,1165,1246,1258
2261,1515,1631,1649
2262,358,379,379
2263,560,592,595
2264,426,451,465
2265,161,171,183
2267,73,77,82
2278,55,61,62
2280,773,819,830
2281,431,434,444
2282,530,561,564
2283,605,635,647
2284,327,337,342
2285,796,839,848
2286,80,85,87
2287,723,758,768
2289,634,688,694
2290,1151,1229,1248
2291,671,700,711
2292,199,205,207
2293,156,161,164
2294,97,107,107
2295,128,133,132
2296,87,89,90
2297,60,65,67
2298,207,217,219
2299,304,318,323
2300,876,936,946
2302,199,208,206
2303,413,435,445
2304,492,519,515
2305,412,441,448
2306,17,16,15
2307,46,48,45
2308,7,6,6
2311,36,35,37
2312,50,51,51
2315,500,527,539
2316,270,287,295
2317,256,274,272
2318,315,329,327
2319,105,113,113
2320,1115,1167,1176
2321,393,409,417
2322,519,562,573
2323,639,665,666
2324,591,619,631
2325,639,672,675
2326,130,137,141
2327,139,141,144
2328,51,53,54
2329,75,83,86
2330,441,467,478
2333,211,224,232
2334,50,51,54
2335,175,183,179
2336,55,59,58
2337,278,295,301
2338,61,63,63
2339,41,44,49
2340,1567,1651,1703
2341,28,27,29
2342,24,30,31
2343,194,210,215
2344,23,28,30
2345,31,35,37
2346,95,102,102
2347,81,97,107
2350,836,895,915
2352,82,88,87
2353,22,22,24
2354,275,296,309
2355,12,13,13
2357,131,146,146
2358,138,143,151
2359,29,27,32
2360,460,495,513
2361,38,35,36
2365,210,234,241
2369,14,14,16
2370,341,369,391
2371,50,60,61
2372,223,242,247
2379,23,29,28
2380,322,354,361
2381,41,51,51
2382,57,64,68
2386,32,34,34
2387,15,17,19
2388,149,158,164
2390,317,338,341
2395,22,26,26
2396,24,27,26
2397,29,30,31
2398,20,19,21
2399,28,31,31
2400,435,466,475
2401,15,18,19
2402,81,90,92
2403,42,45,45
2404,56,64,71
2405,43,47,45
2406,36,42,42
2408,34,36,38
2409,23,27,27
2410,13,12,13
2411,5,6,7
2415,8,11,12
2420,144,149,154
2421,72,80,81
2422,160,167,173
2423,104,117,120
2424,17,19,18
2425,65,72,75
2426,11,11,12
2427,53,54,57
2428,732,776,787
2429,202,212,220
2430,757,823,855
2431,143,147,155
2439,105,109,106
2440,511,541,550
2441,129,129,129
2443,220,229,232
2444,1788,1857,1882
2445,202,215,218
2446,443,463,484
2447,212,228,230
2448,232,243,246
2449,52,60,59
2450,1820,1936,1977
2452,393,422,440
2453,91,102,102
2454,350,370,376
2455,91,100,105
2456,495,513,509
2460,651,683,696
2462,73,80,80
2463,215,229,234
2464,309,320,319
2465,11,12,12
2466,42,44,45
2469,98,103,104
2470,322,354,364
2471,40,46,48
2472,51,56,57
2473,77,81,81
2474,195,216,217
2475,14,15,16
2476,12,16,16
2477,464,507,511
2478,1280,1374,1394
2479,523,565,572
2480,1574,1682,1736
2481,1531,1592,1590
2482,529,555,560
2483,739,785,807
2484,790,835,838
2485,531,555,574
2486,1039,1099,1109
2487,791,825,840
2488,173,182,187
2489,280,290,297
2490,26,29,31
2500,1639,1714,1733
2502,273,284,290
2505,136,148,147
2506,122,120,119
2508,351,370,384
2515,535,568,569
2516,223,237,237
2517,377,387,397
2518,527,556,557
2519,519,538,541
2520,6,7,7
2525,315,331,329
2526,475,506,515
2527,498,522,530
2528,394,423,423
2529,753,797,808
2530,583,619,620
2533,624,655,665
2534,245,258,262
2535,360,381,390
2536,591,624,637
2537,366,387,386
2538,143,156,154
2539,751,789,814
2540,1196,1263,1288
2541,800,852,860
2545,35,36,38
2546,450,472,470
2548,339,360,359
2549,177,188,187
2550,544,577,594
2551,133,142,141
2555,13,14,15
2556,156,163,163
2557,473,513,523
2558,212,218,227
2559,50,53,57
2560,1760,1831,1846
2563,10,10,11
2564,307,314,312
2565,917,971,987
2566,795,846,863
2567,1409,1505,1529
2568,36,43,42
2569,50,56,55
2570,1613,1712,1769
2571,435,467,472
2572,124,135,137
2573,121,127,127
2574,150,171,180
2575,670,723,734
2576,776,825,827
2577,744,804,819
2578,110,116,115
2579,150,162,170
2580,743,799,817
2581,65,71,76
2582,386,428,449
2583,140,153,159
2584,28,31,31
2585,12,12,15
2586,118,129,132
2587,118,125,131
2588,24,25,28
2590,191,222,233
2594,383,409,420
2600,480,491,490
2601,485,502,506
2602,651,674,687
2603,352,369,369
2604,367,377,374
2605,251,251,259
2606,341,359,367
2607,310,320,331
2609,522,554,552
2611,549,572,577
2612,374,392,381
2614,332,348,355
2615,627,652,652
2617,680,714,718
2618,74,75,74
2619,169,172,173
2620,1077,1136,1170
2621,185,196,202
2622,170,191,198
2623,10,13,13
2624,11,11,11
2625,51,53,55
2626,17,19,20
2627,309,324,326
2628,94,111,117
2629,22,21,23
2630,303,342,359
2631,28,31,30
2632,66,75,75
2633,11,10,12
2640,1385,1470,1510
2641,318,344,351
2642,176,210,228
2643,60,63,69
2644,68,78,84
2645,27,30,33
2646,234,247,273
2647,87,95,101
2648,74,76,78
2650,1832,1998,2049
2651,32,35,36
2652,178,207,214
2653,61,63,65
2655,44,50,56
2656,56,68,74
2658,49,57,58
2659,28,35,37
2660,48,51,51
2663,108,125,128
2665,102,114,118
2666,226,260,271
2668,21,24,25
2669,103,116,115
2671,177,188,187
2672,53,58,65
2675,46,53,56
2680,831,921,956
2681,47,52,57
2700,113,123,138
2701,61,69,72
2702,22,23,25
2703,8,9,9
2705,230,240,258
2706,24,26,25
2707,84,93,98
2710,337,369,381
2711,110,120,130
