month,region,data_type,values
Aug 2020,Ascot Vale,Total JobSeeker and Youth allowance recipients,1082
Aug 2020,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.2
Aug 2020,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1342
Aug 2020,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.1
Aug 2020,Flemington,Total JobSeeker and Youth allowance recipients,1034
Aug 2020,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.9
Aug 2020,Moonee Ponds,Total JobSeeker and Youth allowance recipients,801
Aug 2020,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.1
Aug 2020,Airport West,Total JobSeeker and Youth allowance recipients,502
Aug 2020,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.2
Aug 2020,Keilor East,Total JobSeeker and Youth allowance recipients,1442
Aug 2020,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.4
Aug 2020,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,325
Aug 2020,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.3
Aug 2020,Strathmore,Total JobSeeker and Youth allowance recipients,390
Aug 2020,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.7
Jul 2020,Ascot Vale,Total JobSeeker and Youth allowance recipients,1058
Jul 2020,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9
Jul 2020,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1281
Jul 2020,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.9
Jul 2020,Flemington,Total JobSeeker and Youth allowance recipients,1044
Jul 2020,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,12
Jul 2020,Moonee Ponds,Total JobSeeker and Youth allowance recipients,753
Jul 2020,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.7
Jul 2020,Airport West,Total JobSeeker and Youth allowance recipients,475
Jul 2020,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.7
Jul 2020,Keilor East,Total JobSeeker and Youth allowance recipients,1361
Jul 2020,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.9
Jul 2020,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,316
Jul 2020,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.2
Jul 2020,Strathmore,Total JobSeeker and Youth allowance recipients,376
Jul 2020,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.5
Jun 2020,Ascot Vale,Total JobSeeker and Youth allowance recipients,1019
Jun 2020,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.7
Jun 2020,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1245
Jun 2020,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.7
