month,region,data_type,values
2020-08-28,Ascot Vale,Total JobSeeker and Youth allowance recipients,1082
2020-08-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.2
2020-08-28,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1342
2020-08-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.1
2020-08-28,Flemington,Total JobSeeker and Youth allowance recipients,1034
2020-08-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.9
2020-08-28,Moonee Ponds,Total JobSeeker and Youth allowance recipients,801
2020-08-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.1
2020-08-28,Airport West,Total JobSeeker and Youth allowance recipients,502
2020-08-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.2
2020-08-28,Keilor East,Total JobSeeker and Youth allowance recipients,1442
2020-08-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.4
2020-08-28,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,325
2020-08-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.3
2020-08-28,Strathmore,Total JobSeeker and Youth allowance recipients,390
2020-08-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.7
2020-07-28,Ascot Vale,Total JobSeeker and Youth allowance recipients,1058
2020-07-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9
2020-07-28,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1281
2020-07-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.9
2020-07-28,Flemington,Total JobSeeker and Youth allowance recipients,1044
2020-07-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,12
2020-07-28,Moonee Ponds,Total JobSeeker and Youth allowance recipients,753
2020-07-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.7
2020-07-28,Airport West,Total JobSeeker and Youth allowance recipients,475
2020-07-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.7
2020-07-28,Keilor East,Total JobSeeker and Youth allowance recipients,1361
2020-07-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.9
2020-07-28,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,316
2020-07-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.2
2020-07-28,Strathmore,Total JobSeeker and Youth allowance recipients,376
2020-07-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.5
2020-06-28,Ascot Vale,Total JobSeeker and Youth allowance recipients,1019
2020-06-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.7
2020-06-28,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1245
2020-06-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.7
2020-06-28,Flemington,Total JobSeeker and Youth allowance recipients,994
2020-06-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.4
2020-06-28,Moonee Ponds,Total JobSeeker and Youth allowance recipients,722
2020-06-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.4
2020-06-28,Airport West,Total JobSeeker and Youth allowance recipients,458
2020-06-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.4
2020-06-28,Keilor East,Total JobSeeker and Youth allowance recipients,1315
2020-06-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.7
2020-06-28,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,304
2020-06-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.9
2020-06-28,Strathmore,Total JobSeeker and Youth allowance recipients,365
2020-06-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.4
2020-04-28,Ascot Vale,Total JobSeeker and Youth allowance recipients,873
2020-04-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.5
2020-04-28,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1018
2020-04-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.6
2020-04-28,Flemington,Total JobSeeker and Youth allowance recipients,873
2020-04-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,10
2020-04-28,Moonee Ponds,Total JobSeeker and Youth allowance recipients,618
2020-04-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.5
2020-04-28,Airport West,Total JobSeeker and Youth allowance recipients,384
2020-04-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7
2020-04-28,Keilor East,Total JobSeeker and Youth allowance recipients,1053
2020-04-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.1
2020-04-28,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,212
2020-04-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.1
2020-04-28,Strathmore,Total JobSeeker and Youth allowance recipients,281
2020-04-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.1
2020-03-28,Ascot Vale,Total JobSeeker and Youth allowance recipients,542
2020-03-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.6
2020-03-28,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,453
2020-03-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,2.1
2020-03-28,Flemington,Total JobSeeker and Youth allowance recipients,542
2020-03-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.2
2020-03-28,Moonee Ponds,Total JobSeeker and Youth allowance recipients,275
2020-03-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,2.4
2020-03-28,Airport West,Total JobSeeker and Youth allowance recipients,215
2020-03-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.9
2020-03-28,Keilor East,Total JobSeeker and Youth allowance recipients,612
2020-03-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.6
2020-03-28,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,109
2020-03-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,2.1
2020-03-28,Strathmore,Total JobSeeker and Youth allowance recipients,141
2020-03-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,2.1
2020-05-28,Ascot Vale,Total JobSeeker and Youth allowance recipients,1047
2020-05-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.9
2020-05-28,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1267
2020-05-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.8
2020-05-28,Flemington,Total JobSeeker and Youth allowance recipients,997
2020-05-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.5
2020-05-28,Moonee Ponds,Total JobSeeker and Youth allowance recipients,752
2020-05-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.7
2020-05-28,Airport West,Total JobSeeker and Youth allowance recipients,483
2020-05-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.8
2020-05-28,Keilor East,Total JobSeeker and Youth allowance recipients,1355
2020-05-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.9
2020-05-28,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,321
2020-05-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.3
2020-05-28,Strathmore,Total JobSeeker and Youth allowance recipients,368
2020-05-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.4
2020-09-28,Ascot Vale,Total JobSeeker and Youth allowance recipients,1054
2020-09-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9
2020-09-28,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1291
2020-09-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.9
2020-09-28,Flemington,Total JobSeeker and Youth allowance recipients,998
2020-09-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.5
2020-09-28,Moonee Ponds,Total JobSeeker and Youth allowance recipients,783
2020-09-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.9
2020-09-28,Airport West,Total JobSeeker and Youth allowance recipients,473
2020-09-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.6
2020-09-28,Keilor East,Total JobSeeker and Youth allowance recipients,1388
2020-09-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.1
2020-09-28,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,310
2020-09-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6
2020-09-28,Strathmore,Total JobSeeker and Youth allowance recipients,356
2020-09-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.2
2020-03-28,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,2889
2020-03-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.3
2020-04-28,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,5312
2020-04-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6
2020-05-28,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6590
2020-05-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.5
2020-06-28,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6422
2020-06-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.3
2020-07-28,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6664
2020-07-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.6
2020-08-28,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6918
2020-08-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.9
2020-09-28,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6653
2020-09-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.6
2020-03-28,Greater Melbourne,Total JobSeeker and Youth allowance recipients,130575
2020-03-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.8
2020-04-28,Greater Melbourne,Total JobSeeker and Youth allowance recipients,226020
2020-04-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.6
2020-05-28,Greater Melbourne,Total JobSeeker and Youth allowance recipients,287358
2020-05-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.3
