month,region,data_type,values
2020-08-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.2
2020-08-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.1
2020-08-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.9
2020-08-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.1
2020-08-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.2
2020-08-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.4
2020-08-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.3
2020-08-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.7
2020-07-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9
2020-07-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.9
2020-07-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,12
2020-07-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.7
2020-07-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.7
2020-07-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.9
2020-07-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.2
2020-07-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.5
2020-06-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.7
2020-06-28,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.7
2020-06-28,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.4
2020-06-28,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.4
2020-06-28,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.4
2020-06-28,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.7
2020-06-28,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.9
2020-06-28,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.4
2020-04-28,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.5
