sa2,sa2_name,month,data_type,values
21001,Alfredton,2020-03-01,JobSeeker payment recipients,252
21001,Alfredton,2020-03-01,Youth Allowance recipients,56
21001,Alfredton,2020-03-01,Total JobSeeker and Youth allowance recipients,308
21001,Alfredton,2020-03-01,Population aged 15-64 y.o.,8525
21001,Alfredton,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.6
21002,Ballarat,2020-03-01,JobSeeker payment recipients,436
21002,Ballarat,2020-03-01,Youth Allowance recipients,52
21002,Ballarat,2020-03-01,Total JobSeeker and Youth allowance recipients,488
21002,Ballarat,2020-03-01,Population aged 15-64 y.o.,7728
21002,Ballarat,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.3
21003,Ballarat - North,2020-03-01,JobSeeker payment recipients,935
21003,Ballarat - North,2020-03-01,Youth Allowance recipients,118
21003,Ballarat - North,2020-03-01,Total JobSeeker and Youth allowance recipients,1053
21003,Ballarat - North,2020-03-01,Population aged 15-64 y.o.,15369
21003,Ballarat - North,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.9
21004,Ballarat - South,2020-03-01,JobSeeker payment recipients,1287
21004,Ballarat - South,2020-03-01,Youth Allowance recipients,236
21004,Ballarat - South,2020-03-01,Total JobSeeker and Youth allowance recipients,1523
21004,Ballarat - South,2020-03-01,Population aged 15-64 y.o.,16435
21004,Ballarat - South,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,9.3
21005,Buninyong,2020-03-01,JobSeeker payment recipients,146
21005,Buninyong,2020-03-01,Youth Allowance recipients,15
21005,Buninyong,2020-03-01,Total JobSeeker and Youth allowance recipients,161
21005,Buninyong,2020-03-01,Population aged 15-64 y.o.,4867
21005,Buninyong,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.3
21006,Delacombe,2020-03-01,JobSeeker payment recipients,331
21006,Delacombe,2020-03-01,Youth Allowance recipients,53
21006,Delacombe,2020-03-01,Total JobSeeker and Youth allowance recipients,384
21006,Delacombe,2020-03-01,Population aged 15-64 y.o.,5063
21006,Delacombe,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,7.6
21007,Smythes Creek,2020-03-01,JobSeeker payment recipients,79
21007,Smythes Creek,2020-03-01,Youth Allowance recipients,8
21007,Smythes Creek,2020-03-01,Total JobSeeker and Youth allowance recipients,87
21007,Smythes Creek,2020-03-01,Population aged 15-64 y.o.,2611
21007,Smythes Creek,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.3
21008,Wendouree - Miners Rest,2020-03-01,JobSeeker payment recipients,826
21008,Wendouree - Miners Rest,2020-03-01,Youth Allowance recipients,136
21008,Wendouree - Miners Rest,2020-03-01,Total JobSeeker and Youth allowance recipients,962
21008,Wendouree - Miners Rest,2020-03-01,Population aged 15-64 y.o.,9043
21008,Wendouree - Miners Rest,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,10.6
21009,Bacchus Marsh Region,2020-03-01,JobSeeker payment recipients,173
21009,Bacchus Marsh Region,2020-03-01,Youth Allowance recipients,12
21009,Bacchus Marsh Region,2020-03-01,Total JobSeeker and Youth allowance recipients,185
21009,Bacchus Marsh Region,2020-03-01,Population aged 15-64 y.o.,3879
21009,Bacchus Marsh Region,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,4.8
21010,Creswick - Clunes,2020-03-01,JobSeeker payment recipients,317
21010,Creswick - Clunes,2020-03-01,Youth Allowance recipients,38
21010,Creswick - Clunes,2020-03-01,Total JobSeeker and Youth allowance recipients,355
21010,Creswick - Clunes,2020-03-01,Population aged 15-64 y.o.,4679
21010,Creswick - Clunes,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,7.6
21011,Daylesford,2020-03-01,JobSeeker payment recipients,301
21011,Daylesford,2020-03-01,Youth Allowance recipients,15
21011,Daylesford,2020-03-01,Total JobSeeker and Youth allowance recipients,316
21011,Daylesford,2020-03-01,Population aged 15-64 y.o.,5558
21011,Daylesford,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.7
21012,Gordon (Vic.),2020-03-01,JobSeeker payment recipients,155
21012,Gordon (Vic.),2020-03-01,Youth Allowance recipients,13
21012,Gordon (Vic.),2020-03-01,Total JobSeeker and Youth allowance recipients,168
21012,Gordon (Vic.),2020-03-01,Population aged 15-64 y.o.,3724
21012,Gordon (Vic.),2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,4.5
21013,Avoca,2020-03-01,JobSeeker payment recipients,182
21013,Avoca,2020-03-01,Youth Allowance recipients,15
21013,Avoca,2020-03-01,Total JobSeeker and Youth allowance recipients,197
21013,Avoca,2020-03-01,Population aged 15-64 y.o.,1871
21013,Avoca,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,10.5
21014,Beaufort,2020-03-01,JobSeeker payment recipients,186
21014,Beaufort,2020-03-01,Youth Allowance recipients,25
21014,Beaufort,2020-03-01,Total JobSeeker and Youth allowance recipients,211
21014,Beaufort,2020-03-01,Population aged 15-64 y.o.,2666
21014,Beaufort,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,7.9
21015,Golden Plains - North,2020-03-01,JobSeeker payment recipients,205
21015,Golden Plains - North,2020-03-01,Youth Allowance recipients,27
21015,Golden Plains - North,2020-03-01,Total JobSeeker and Youth allowance recipients,232
21015,Golden Plains - North,2020-03-01,Population aged 15-64 y.o.,2952
21015,Golden Plains - North,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,7.9
21016,Maryborough (Vic.),2020-03-01,JobSeeker payment recipients,512
21016,Maryborough (Vic.),2020-03-01,Youth Allowance recipients,81
21016,Maryborough (Vic.),2020-03-01,Total JobSeeker and Youth allowance recipients,593
21016,Maryborough (Vic.),2020-03-01,Population aged 15-64 y.o.,4377
