region,date,data_type,values
Ascot Vale,2010-12-01,Unemployment rate %,7.3
Ascot Vale,2010-12-01,No. of unemployed,623
Ascot Vale,2010-12-01,Labour force,8526
Ascot Vale,2011-03-01,Unemployment rate %,7.2
Ascot Vale,2011-03-01,No. of unemployed,615
Ascot Vale,2011-03-01,Labour force,8549
Ascot Vale,2011-06-01,Unemployment rate %,6.7
Ascot Vale,2011-06-01,No. of unemployed,573
Ascot Vale,2011-06-01,Labour force,8565
Ascot Vale,2011-09-01,Unemployment rate %,6.2
Ascot Vale,2011-09-01,No. of unemployed,534
Ascot Vale,2011-09-01,Labour force,8573
Ascot Vale,2011-12-01,Unemployment rate %,6.2
Ascot Vale,2011-12-01,No. of unemployed,532
Ascot Vale,2011-12-01,Labour force,8562
Ascot Vale,2012-03-01,Unemployment rate %,6.6
Ascot Vale,2012-03-01,No. of unemployed,571
Ascot Vale,2012-03-01,Labour force,8594
Ascot Vale,2012-06-01,Unemployment rate %,7.3
Ascot Vale,2012-06-01,No. of unemployed,632
Ascot Vale,2012-06-01,Labour force,8666
Ascot Vale,2012-09-01,Unemployment rate %,7.6
Ascot Vale,2012-09-01,No. of unemployed,659
Ascot Vale,2012-09-01,Labour force,8713
Ascot Vale,2012-12-01,Unemployment rate %,7.3
Ascot Vale,2012-12-01,No. of unemployed,640
Ascot Vale,2012-12-01,Labour force,8737
Ascot Vale,2013-03-01,Unemployment rate %,7.4
Ascot Vale,2013-03-01,No. of unemployed,640
Ascot Vale,2013-03-01,Labour force,8707
Ascot Vale,2013-06-01,Unemployment rate %,7.9
Ascot Vale,2013-06-01,No. of unemployed,687
Ascot Vale,2013-06-01,Labour force,8643
Ascot Vale,2013-09-01,Unemployment rate %,8.8
Ascot Vale,2013-09-01,No. of unemployed,752
Ascot Vale,2013-09-01,Labour force,8590
Ascot Vale,2013-12-01,Unemployment rate %,9.7
Ascot Vale,2013-12-01,No. of unemployed,827
Ascot Vale,2013-12-01,Labour force,8567
Ascot Vale,2014-03-01,Unemployment rate %,10.6
Ascot Vale,2014-03-01,No. of unemployed,915
Ascot Vale,2014-03-01,Labour force,8613
Ascot Vale,2014-06-01,Unemployment rate %,10.3
Ascot Vale,2014-06-01,No. of unemployed,888
Ascot Vale,2014-06-01,Labour force,8663
Ascot Vale,2014-09-01,Unemployment rate %,10.2
Ascot Vale,2014-09-01,No. of unemployed,894
Ascot Vale,2014-09-01,Labour force,8732
Ascot Vale,2014-12-01,Unemployment rate %,10.7
Ascot Vale,2014-12-01,No. of unemployed,938
Ascot Vale,2014-12-01,Labour force,8797
Ascot Vale,2015-03-01,Unemployment rate %,10.1
Ascot Vale,2015-03-01,No. of unemployed,898
Ascot Vale,2015-03-01,Labour force,8857
Ascot Vale,2015-06-01,Unemployment rate %,10.3
Ascot Vale,2015-06-01,No. of unemployed,917
Ascot Vale,2015-06-01,Labour force,8915
Ascot Vale,2015-09-01,Unemployment rate %,10
Ascot Vale,2015-09-01,No. of unemployed,894
Ascot Vale,2015-09-01,Labour force,8981
Ascot Vale,2015-12-01,Unemployment rate %,9.1
Ascot Vale,2015-12-01,No. of unemployed,821
Ascot Vale,2015-12-01,Labour force,9003
Ascot Vale,2016-03-01,Unemployment rate %,8.6
Ascot Vale,2016-03-01,No. of unemployed,773
Ascot Vale,2016-03-01,Labour force,8970
Ascot Vale,2016-06-01,Unemployment rate %,8.2
Ascot Vale,2016-06-01,No. of unemployed,736
Ascot Vale,2016-06-01,Labour force,8990
Ascot Vale,2016-09-01,Unemployment rate %,7.8
Ascot Vale,2016-09-01,No. of unemployed,700
Ascot Vale,2016-09-01,Labour force,9029
Ascot Vale,2016-12-01,Unemployment rate %,8
Ascot Vale,2016-12-01,No. of unemployed,725
Ascot Vale,2016-12-01,Labour force,9100
Ascot Vale,2017-03-01,Unemployment rate %,7.8
Ascot Vale,2017-03-01,No. of unemployed,718
Ascot Vale,2017-03-01,Labour force,9233
Ascot Vale,2017-06-01,Unemployment rate %,8.3
Ascot Vale,2017-06-01,No. of unemployed,776
Ascot Vale,2017-06-01,Labour force,9349
Ascot Vale,2017-09-01,Unemployment rate %,8.7
Ascot Vale,2017-09-01,No. of unemployed,823
Ascot Vale,2017-09-01,Labour force,9452
Ascot Vale,2017-12-01,Unemployment rate %,8.5
Ascot Vale,2017-12-01,No. of unemployed,816
Ascot Vale,2017-12-01,Labour force,9588
Ascot Vale,2018-03-01,Unemployment rate %,8.4
Ascot Vale,2018-03-01,No. of unemployed,813
Ascot Vale,2018-03-01,Labour force,9680
Ascot Vale,2018-06-01,Unemployment rate %,7.7
Ascot Vale,2018-06-01,No. of unemployed,746
Ascot Vale,2018-06-01,Labour force,9728
Ascot Vale,2018-09-01,Unemployment rate %,7.4
Ascot Vale,2018-09-01,No. of unemployed,721
Ascot Vale,2018-09-01,Labour force,9721
Ascot Vale,2018-12-01,Unemployment rate %,7
Ascot Vale,2018-12-01,No. of unemployed,676
Ascot Vale,2018-12-01,Labour force,9713
Ascot Vale,2019-03-01,Unemployment rate %,7.5
Ascot Vale,2019-03-01,No. of unemployed,731
Ascot Vale,2019-03-01,Labour force,9803
Ascot Vale,2019-06-01,Unemployment rate %,8
Ascot Vale,2019-06-01,No. of unemployed,789
Ascot Vale,2019-06-01,Labour force,9877
Ascot Vale,2019-09-01,Unemployment rate %,8.3
Ascot Vale,2019-09-01,No. of unemployed,834
Ascot Vale,2019-09-01,Labour force,10031
Ascot Vale,2019-12-01,Unemployment rate %,8.7
Ascot Vale,2019-12-01,No. of unemployed,880
Ascot Vale,2019-12-01,Labour force,10169
Essendon - Aberfeldie,2010-12-01,Unemployment rate %,2.6
Essendon - Aberfeldie,2010-12-01,No. of unemployed,395
Essendon - Aberfeldie,2010-12-01,Labour force,15372
Essendon - Aberfeldie,2011-03-01,Unemployment rate %,2.5
Essendon - Aberfeldie,2011-03-01,No. of unemployed,386
Essendon - Aberfeldie,2011-03-01,Labour force,15437
Essendon - Aberfeldie,2011-06-01,Unemployment rate %,2.4
Essendon - Aberfeldie,2011-06-01,No. of unemployed,371
Essendon - Aberfeldie,2011-06-01,Labour force,15491
Essendon - Aberfeldie,2011-09-01,Unemployment rate %,2.4
Essendon - Aberfeldie,2011-09-01,No. of unemployed,366
Essendon - Aberfeldie,2011-09-01,Labour force,15530
Essendon - Aberfeldie,2011-12-01,Unemployment rate %,2.4
Essendon - Aberfeldie,2011-12-01,No. of unemployed,380
Essendon - Aberfeldie,2011-12-01,Labour force,15535
Essendon - Aberfeldie,2012-03-01,Unemployment rate %,2.8
Essendon - Aberfeldie,2012-03-01,No. of unemployed,436
Essendon - Aberfeldie,2012-03-01,Labour force,15617
Essendon - Aberfeldie,2012-06-01,Unemployment rate %,3.1
Essendon - Aberfeldie,2012-06-01,No. of unemployed,493
Essendon - Aberfeldie,2012-06-01,Labour force,15771
Essendon - Aberfeldie,2012-09-01,Unemployment rate %,3.3
Essendon - Aberfeldie,2012-09-01,No. of unemployed,524
Essendon - Aberfeldie,2012-09-01,Labour force,15880
Essendon - Aberfeldie,2012-12-01,Unemployment rate %,3.2
Essendon - Aberfeldie,2012-12-01,No. of unemployed,518
Essendon - Aberfeldie,2012-12-01,Labour force,15947
Essendon - Aberfeldie,2013-03-01,Unemployment rate %,3.2
Essendon - Aberfeldie,2013-03-01,No. of unemployed,515
Essendon - Aberfeldie,2013-03-01,Labour force,15927
Essendon - Aberfeldie,2013-06-01,Unemployment rate %,3.5
Essendon - Aberfeldie,2013-06-01,No. of unemployed,553
Essendon - Aberfeldie,2013-06-01,Labour force,15843
Essendon - Aberfeldie,2013-09-01,Unemployment rate %,3.8
Essendon - Aberfeldie,2013-09-01,No. of unemployed,597
Essendon - Aberfeldie,2013-09-01,Labour force,15783
Essendon - Aberfeldie,2013-12-01,Unemployment rate %,4.1
Essendon - Aberfeldie,2013-12-01,No. of unemployed,651
Essendon - Aberfeldie,2013-12-01,Labour force,15777
Essendon - Aberfeldie,2014-03-01,Unemployment rate %,4.5
Essendon - Aberfeldie,2014-03-01,No. of unemployed,713
Essendon - Aberfeldie,2014-03-01,Labour force,15890
Essendon - Aberfeldie,2014-06-01,Unemployment rate %,4.4
Essendon - Aberfeldie,2014-06-01,No. of unemployed,697
Essendon - Aberfeldie,2014-06-01,Labour force,16012
Essendon - Aberfeldie,2014-09-01,Unemployment rate %,4.3
Essendon - Aberfeldie,2014-09-01,No. of unemployed,692
Essendon - Aberfeldie,2014-09-01,Labour force,16165
Essendon - Aberfeldie,2014-12-01,Unemployment rate %,4.3
Essendon - Aberfeldie,2014-12-01,No. of unemployed,706
Essendon - Aberfeldie,2014-12-01,Labour force,16313
Essendon - Aberfeldie,2015-03-01,Unemployment rate %,4
Essendon - Aberfeldie,2015-03-01,No. of unemployed,654
Essendon - Aberfeldie,2015-03-01,Labour force,16444
Essendon - Aberfeldie,2015-06-01,Unemployment rate %,3.9
Essendon - Aberfeldie,2015-06-01,No. of unemployed,652
Essendon - Aberfeldie,2015-06-01,Labour force,16569
Essendon - Aberfeldie,2015-09-01,Unemployment rate %,3.8
Essendon - Aberfeldie,2015-09-01,No. of unemployed,642
Essendon - Aberfeldie,2015-09-01,Labour force,16710
Essendon - Aberfeldie,2015-12-01,Unemployment rate %,3.6
Essendon - Aberfeldie,2015-12-01,No. of unemployed,609
Essendon - Aberfeldie,2015-12-01,Labour force,16770
Essendon - Aberfeldie,2016-03-01,Unemployment rate %,3.6
