region,date,data_type,values
Ascot Vale,2010-12-01,Labour force,8526
Ascot Vale,2011-03-01,Labour force,8549
Ascot Vale,2011-06-01,Labour force,8565
Ascot Vale,2011-09-01,Labour force,8573
Ascot Vale,2011-12-01,Labour force,8562
Ascot Vale,2012-03-01,Labour force,8594
Ascot Vale,2012-06-01,Labour force,8666
Ascot Vale,2012-09-01,Labour force,8713
Ascot Vale,2012-12-01,Labour force,8737
Ascot Vale,2013-03-01,Labour force,8707
Ascot Vale,2013-06-01,Labour force,8643
Ascot Vale,2013-09-01,Labour force,8590
Ascot Vale,2013-12-01,Labour force,8567
Ascot Vale,2014-03-01,Labour force,8613
Ascot Vale,2014-06-01,Labour force,8663
Ascot Vale,2014-09-01,Labour force,8732
Ascot Vale,2014-12-01,Labour force,8797
Ascot Vale,2015-03-01,Labour force,8857
Ascot Vale,2015-06-01,Labour force,8915
Ascot Vale,2015-09-01,Labour force,8981
Ascot Vale,2015-12-01,Labour force,9003
Ascot Vale,2016-03-01,Labour force,8970
Ascot Vale,2016-06-01,Labour force,8990
Ascot Vale,2016-09-01,Labour force,9029
Ascot Vale,2016-12-01,Labour force,9100
Ascot Vale,2017-03-01,Labour force,9233
Ascot Vale,2017-06-01,Labour force,9349
Ascot Vale,2017-09-01,Labour force,9452
Ascot Vale,2017-12-01,Labour force,9588
Ascot Vale,2018-03-01,Labour force,9680
Ascot Vale,2018-06-01,Labour force,9728
Ascot Vale,2018-09-01,Labour force,9721
Ascot Vale,2018-12-01,Labour force,9714
Ascot Vale,2019-03-01,Labour force,9805
Ascot Vale,2019-06-01,Labour force,9880
Ascot Vale,2019-09-01,Labour force,10033
Ascot Vale,2019-12-01,Labour force,10169
Ascot Vale,2020-03-01,Labour force,10303
Essendon - Aberfeldie,2010-12-01,Labour force,15372
Essendon - Aberfeldie,2011-03-01,Labour force,15437
Essendon - Aberfeldie,2011-06-01,Labour force,15491
Essendon - Aberfeldie,2011-09-01,Labour force,15530
Essendon - Aberfeldie,2011-12-01,Labour force,15535
Essendon - Aberfeldie,2012-03-01,Labour force,15617
Essendon - Aberfeldie,2012-06-01,Labour force,15771
Essendon - Aberfeldie,2012-09-01,Labour force,15880
Essendon - Aberfeldie,2012-12-01,Labour force,15947
Essendon - Aberfeldie,2013-03-01,Labour force,15927
Essendon - Aberfeldie,2013-06-01,Labour force,15843
Essendon - Aberfeldie,2013-09-01,Labour force,15783
Essendon - Aberfeldie,2013-12-01,Labour force,15777
Essendon - Aberfeldie,2014-03-01,Labour force,15890
Essendon - Aberfeldie,2014-06-01,Labour force,16012
Essendon - Aberfeldie,2014-09-01,Labour force,16165
Essendon - Aberfeldie,2014-12-01,Labour force,16313
Essendon - Aberfeldie,2015-03-01,Labour force,16444
Essendon - Aberfeldie,2015-06-01,Labour force,16569
Essendon - Aberfeldie,2015-09-01,Labour force,16710
Essendon - Aberfeldie,2015-12-01,Labour force,16770
Essendon - Aberfeldie,2016-03-01,Labour force,16785
Essendon - Aberfeldie,2016-06-01,Labour force,16901
Essendon - Aberfeldie,2016-09-01,Labour force,17054
Essendon - Aberfeldie,2016-12-01,Labour force,17268
Essendon - Aberfeldie,2017-03-01,Labour force,17533
Essendon - Aberfeldie,2017-06-01,Labour force,17765
Essendon - Aberfeldie,2017-09-01,Labour force,17973
Essendon - Aberfeldie,2017-12-01,Labour force,18245
Essendon - Aberfeldie,2018-03-01,Labour force,18416
Essendon - Aberfeldie,2018-06-01,Labour force,18504
Essendon - Aberfeldie,2018-09-01,Labour force,18488
Essendon - Aberfeldie,2018-12-01,Labour force,18471
Essendon - Aberfeldie,2019-03-01,Labour force,18642
Essendon - Aberfeldie,2019-06-01,Labour force,18782
Essendon - Aberfeldie,2019-09-01,Labour force,19070
Essendon - Aberfeldie,2019-12-01,Labour force,19325
Essendon - Aberfeldie,2020-03-01,Labour force,19577
Flemington,2010-12-01,Labour force,5261
Flemington,2011-03-01,Labour force,5312
Flemington,2011-06-01,Labour force,5359
Flemington,2011-09-01,Labour force,5401
Flemington,2011-12-01,Labour force,5431
Flemington,2012-03-01,Labour force,5477
Flemington,2012-06-01,Labour force,5547
Flemington,2012-09-01,Labour force,5601
Flemington,2012-12-01,Labour force,5641
Flemington,2013-03-01,Labour force,5651
Flemington,2013-06-01,Labour force,5638
Flemington,2013-09-01,Labour force,5633
Flemington,2013-12-01,Labour force,5648
Flemington,2014-03-01,Labour force,5680
Flemington,2014-06-01,Labour force,5715
Flemington,2014-09-01,Labour force,5762
Flemington,2014-12-01,Labour force,5806
Flemington,2015-03-01,Labour force,5840
Flemington,2015-06-01,Labour force,5872
Flemington,2015-09-01,Labour force,5909
Flemington,2015-12-01,Labour force,5917
Flemington,2016-03-01,Labour force,5913
Flemington,2016-06-01,Labour force,5944
Flemington,2016-09-01,Labour force,5988
Flemington,2016-12-01,Labour force,6054
Flemington,2017-03-01,Labour force,6124
Flemington,2017-06-01,Labour force,6183
Flemington,2017-09-01,Labour force,6233
Flemington,2017-12-01,Labour force,6305
