region,date,data_type,values
Ascot Vale,2010-12-01,No. of unemployed,623
Ascot Vale,2011-03-01,No. of unemployed,615
Ascot Vale,2011-06-01,No. of unemployed,573
Ascot Vale,2011-09-01,No. of unemployed,534
Ascot Vale,2011-12-01,No. of unemployed,532
Ascot Vale,2012-03-01,No. of unemployed,571
Ascot Vale,2012-06-01,No. of unemployed,632
Ascot Vale,2012-09-01,No. of unemployed,659
Ascot Vale,2012-12-01,No. of unemployed,640
Ascot Vale,2013-03-01,No. of unemployed,640
Ascot Vale,2013-06-01,No. of unemployed,687
Ascot Vale,2013-09-01,No. of unemployed,752
Ascot Vale,2013-12-01,No. of unemployed,827
Ascot Vale,2014-03-01,No. of unemployed,915
Ascot Vale,2014-06-01,No. of unemployed,888
Ascot Vale,2014-09-01,No. of unemployed,894
Ascot Vale,2014-12-01,No. of unemployed,938
Ascot Vale,2015-03-01,No. of unemployed,898
Ascot Vale,2015-06-01,No. of unemployed,917
Ascot Vale,2015-09-01,No. of unemployed,894
Ascot Vale,2015-12-01,No. of unemployed,821
Ascot Vale,2016-03-01,No. of unemployed,773
Ascot Vale,2016-06-01,No. of unemployed,736
Ascot Vale,2016-09-01,No. of unemployed,700
Ascot Vale,2016-12-01,No. of unemployed,725
Ascot Vale,2017-03-01,No. of unemployed,718
Ascot Vale,2017-06-01,No. of unemployed,776
Ascot Vale,2017-09-01,No. of unemployed,823
Ascot Vale,2017-12-01,No. of unemployed,816
Ascot Vale,2018-03-01,No. of unemployed,813
Ascot Vale,2018-06-01,No. of unemployed,746
Ascot Vale,2018-09-01,No. of unemployed,721
Ascot Vale,2018-12-01,No. of unemployed,676
Ascot Vale,2019-03-01,No. of unemployed,731
Ascot Vale,2019-06-01,No. of unemployed,789
Ascot Vale,2019-09-01,No. of unemployed,834
Ascot Vale,2019-12-01,No. of unemployed,880
Ascot Vale,2020-03-01,No. of unemployed,855
Essendon - Aberfeldie,2010-12-01,No. of unemployed,395
Essendon - Aberfeldie,2011-03-01,No. of unemployed,386
Essendon - Aberfeldie,2011-06-01,No. of unemployed,371
Essendon - Aberfeldie,2011-09-01,No. of unemployed,366
Essendon - Aberfeldie,2011-12-01,No. of unemployed,380
Essendon - Aberfeldie,2012-03-01,No. of unemployed,436
Essendon - Aberfeldie,2012-06-01,No. of unemployed,493
Essendon - Aberfeldie,2012-09-01,No. of unemployed,524
Essendon - Aberfeldie,2012-12-01,No. of unemployed,518
Essendon - Aberfeldie,2013-03-01,No. of unemployed,515
Essendon - Aberfeldie,2013-06-01,No. of unemployed,553
Essendon - Aberfeldie,2013-09-01,No. of unemployed,597
Essendon - Aberfeldie,2013-12-01,No. of unemployed,651
Essendon - Aberfeldie,2014-03-01,No. of unemployed,713
Essendon - Aberfeldie,2014-06-01,No. of unemployed,697
Essendon - Aberfeldie,2014-09-01,No. of unemployed,692
Essendon - Aberfeldie,2014-12-01,No. of unemployed,706
Essendon - Aberfeldie,2015-03-01,No. of unemployed,654
Essendon - Aberfeldie,2015-06-01,No. of unemployed,652
Essendon - Aberfeldie,2015-09-01,No. of unemployed,642
Essendon - Aberfeldie,2015-12-01,No. of unemployed,609
Essendon - Aberfeldie,2016-03-01,No. of unemployed,608
Essendon - Aberfeldie,2016-06-01,No. of unemployed,601
Essendon - Aberfeldie,2016-09-01,No. of unemployed,589
Essendon - Aberfeldie,2016-12-01,No. of unemployed,619
Essendon - Aberfeldie,2017-03-01,No. of unemployed,617
Essendon - Aberfeldie,2017-06-01,No. of unemployed,664
Essendon - Aberfeldie,2017-09-01,No. of unemployed,693
Essendon - Aberfeldie,2017-12-01,No. of unemployed,682
Essendon - Aberfeldie,2018-03-01,No. of unemployed,688
Essendon - Aberfeldie,2018-06-01,No. of unemployed,637
Essendon - Aberfeldie,2018-09-01,No. of unemployed,625
Essendon - Aberfeldie,2018-12-01,No. of unemployed,585
Essendon - Aberfeldie,2019-03-01,No. of unemployed,625
Essendon - Aberfeldie,2019-06-01,No. of unemployed,654
Essendon - Aberfeldie,2019-09-01,No. of unemployed,657
Essendon - Aberfeldie,2019-12-01,No. of unemployed,681
Essendon - Aberfeldie,2020-03-01,No. of unemployed,651
Flemington,2010-12-01,No. of unemployed,571
Flemington,2011-03-01,No. of unemployed,565
Flemington,2011-06-01,No. of unemployed,533
Flemington,2011-09-01,No. of unemployed,501
Flemington,2011-12-01,No. of unemployed,501
Flemington,2012-03-01,No. of unemployed,536
Flemington,2012-06-01,No. of unemployed,591
Flemington,2012-09-01,No. of unemployed,620
Flemington,2012-12-01,No. of unemployed,612
Flemington,2013-03-01,No. of unemployed,618
Flemington,2013-06-01,No. of unemployed,659
Flemington,2013-09-01,No. of unemployed,728
Flemington,2013-12-01,No. of unemployed,795
Flemington,2014-03-01,No. of unemployed,860
Flemington,2014-06-01,No. of unemployed,833
Flemington,2014-09-01,No. of unemployed,826
Flemington,2014-12-01,No. of unemployed,850
Flemington,2015-03-01,No. of unemployed,813
Flemington,2015-06-01,No. of unemployed,825
Flemington,2015-09-01,No. of unemployed,803
Flemington,2015-12-01,No. of unemployed,754
Flemington,2016-03-01,No. of unemployed,741
Flemington,2016-06-01,No. of unemployed,734
Flemington,2016-09-01,No. of unemployed,716
Flemington,2016-12-01,No. of unemployed,742
Flemington,2017-03-01,No. of unemployed,738
Flemington,2017-06-01,No. of unemployed,787
Flemington,2017-09-01,No. of unemployed,837
Flemington,2017-12-01,No. of unemployed,833
Flemington,2018-03-01,No. of unemployed,838
Flemington,2018-06-01,No. of unemployed,813
Flemington,2018-09-01,No. of unemployed,811
Flemington,2018-12-01,No. of unemployed,782
Flemington,2019-03-01,No. of unemployed,840
Flemington,2019-06-01,No. of unemployed,863
Flemington,2019-09-01,No. of unemployed,865
Flemington,2019-12-01,No. of unemployed,891
Flemington,2020-03-01,No. of unemployed,856
Moonee Ponds,2010-12-01,No. of unemployed,215
Moonee Ponds,2011-03-01,No. of unemployed,217
Moonee Ponds,2011-06-01,No. of unemployed,212
Moonee Ponds,2011-09-01,No. of unemployed,210
Moonee Ponds,2011-12-01,No. of unemployed,215
Moonee Ponds,2012-03-01,No. of unemployed,245
Moonee Ponds,2012-06-01,No. of unemployed,277
Moonee Ponds,2012-09-01,No. of unemployed,292
Moonee Ponds,2012-12-01,No. of unemployed,283
Moonee Ponds,2013-03-01,No. of unemployed,278
Moonee Ponds,2013-06-01,No. of unemployed,296
Moonee Ponds,2013-09-01,No. of unemployed,336
Moonee Ponds,2013-12-01,No. of unemployed,380
Moonee Ponds,2014-03-01,No. of unemployed,421
Moonee Ponds,2014-06-01,No. of unemployed,412
