sa2_name,date,rate
Alfredton,2019-12-01,1.6
Ballarat,2019-12-01,3.3
Ballarat - North,2019-12-01,3.2
Ballarat - South,2019-12-01,5.3
Buninyong,2019-12-01,1.6
Delacombe,2019-12-01,3.4
Smythes Creek,2019-12-01,1.6
Wendouree - Miners Rest,2019-12-01,5.9
Bacchus Marsh Region,2019-12-01,1.9
Creswick - Clunes,2019-12-01,3.4
Daylesford,2019-12-01,2.3
Gordon (Vic.),2019-12-01,2.1
Avoca,2019-12-01,5.1
Beaufort,2019-12-01,4.1
Golden Plains - North,2019-12-01,3.8
Maryborough (Vic.),2019-12-01,7.4
Maryborough Region,2019-12-01,6.2
Bendigo,2019-12-01,6.9
California Gully - Eaglehawk,2019-12-01,6.4
East Bendigo - Kennington,2019-12-01,3.6
Flora Hill - Spring Gully,2019-12-01,3.9
Kangaroo Flat - Golden Square,2019-12-01,4.4
Maiden Gully,2019-12-01,1.3
Strathfieldsaye,2019-12-01,1.2
White Hills - Ascot,2019-12-01,3.1
Bendigo Region - South,2019-12-01,1.8
Castlemaine,2019-12-01,3
Castlemaine Region,2019-12-01,2.9
Heathcote,2019-12-01,5.9
Kyneton,2019-12-01,2
Woodend,2019-12-01,1.3
Bendigo Region - North,2019-12-01,3.3
Loddon,2019-12-01,5.4
Bannockburn,2019-12-01,1.8
Golden Plains - South,2019-12-01,2.8
Winchelsea,2019-12-01,2.6
Belmont,2019-12-01,4
Corio - Norlane,2019-12-01,15.3
Geelong,2019-12-01,5.5
Geelong West - Hamlyn Heights,2019-12-01,3.6
Grovedale,2019-12-01,3.1
Highton,2019-12-01,1.7
Lara,2019-12-01,3.6
Leopold,2019-12-01,3.1
Newcomb - Moolap,2019-12-01,9.3
Newtown (Vic.),2019-12-01,2.2
North Geelong - Bell Park,2019-12-01,5.9
Clifton Springs,2019-12-01,4.6
Lorne - Anglesea,2019-12-01,1.6
Ocean Grove - Barwon Heads,2019-12-01,2.2
Portarlington,2019-12-01,7.5
Point Lonsdale - Queenscliff,2019-12-01,2.3
Torquay,2019-12-01,1.4
Alexandra,2019-12-01,3.2
Euroa,2019-12-01,3.7
Kilmore - Broadford,2019-12-01,3.6
Mansfield (Vic.),2019-12-01,2.3
Nagambie,2019-12-01,3.2
Seymour,2019-12-01,7.5
Seymour Region,2019-12-01,1.9
Yea,2019-12-01,4.6
Benalla,2019-12-01,6
Benalla Region,2019-12-01,2.9
Rutherglen,2019-12-01,2.8
Wangaratta,2019-12-01,4.9
Wangaratta Region,2019-12-01,2.2
Beechworth,2019-12-01,2.4
Bright - Mount Beauty,2019-12-01,1.9
Chiltern - Indigo Valley,2019-12-01,3.8
Myrtleford,2019-12-01,3.3
Towong,2019-12-01,3.8
West Wodonga,2019-12-01,4.7
Wodonga,2019-12-01,5.2
Yackandandah,2019-12-01,1.8
Drouin,2019-12-01,2.8
Mount Baw Baw Region,2019-12-01,1.9
Trafalgar (Vic.),2019-12-01,1.9
Warragul,2019-12-01,2.5
Bairnsdale,2019-12-01,4.8
Bruthen - Omeo,2019-12-01,2.5
Lakes Entrance,2019-12-01,5.3
Orbost,2019-12-01,5.8
Paynesville,2019-12-01,4
Foster,2019-12-01,2.1
Korumburra,2019-12-01,2.5
Leongatha,2019-12-01,2
Phillip Island,2019-12-01,2.9
Wonthaggi - Inverloch,2019-12-01,4
Churchill,2019-12-01,3.8
Moe - Newborough,2019-12-01,6.8
Morwell,2019-12-01,9.9
Traralgon,2019-12-01,3.3
Yallourn North - Glengarry,2019-12-01,2.7
Longford - Loch Sport,2019-12-01,3.9
Maffra,2019-12-01,2.8
Rosedale,2019-12-01,2.6
Sale,2019-12-01,4.8
Yarram,2019-12-01,3.9
Brunswick,2019-12-01,5.5
Brunswick East,2019-12-01,4.7
Brunswick West,2019-12-01,6.6
Coburg,2019-12-01,7.4
Pascoe Vale South,2019-12-01,4.6
Alphington - Fairfield,2019-12-01,4.2
Northcote,2019-12-01,4.6
Thornbury,2019-12-01,6.1
Ascot Vale,2019-12-01,8.7
Essendon - Aberfeldie,2019-12-01,3.5
Flemington,2019-12-01,13.2
Moonee Ponds,2019-12-01,3.8
Carlton,2019-12-01,6.6
Docklands,2019-12-01,1.9
East Melbourne,2019-12-01,1.2
Kensington (Vic.),2019-12-01,5
Melbourne,2019-12-01,3.6
North Melbourne,2019-12-01,6.4
Parkville,2019-12-01,3.6
South Yarra - West,2019-12-01,2.2
Southbank,2019-12-01,1.8
Albert Park,2019-12-01,2.1
Elwood,2019-12-01,3.2
Port Melbourne,2019-12-01,4
Port Melbourne Industrial,2019-12-01,1.2
South Melbourne,2019-12-01,7.4
St Kilda,2019-12-01,5.7
St Kilda East,2019-12-01,5
Armadale,2019-12-01,1.8
Prahran - Windsor,2019-12-01,3.5
South Yarra - East,2019-12-01,3
Toorak,2019-12-01,2
Abbotsford,2019-12-01,3.1
Carlton North - Princes Hill,2019-12-01,4.5
Collingwood,2019-12-01,11.8
Fitzroy,2019-12-01,9.1
Fitzroy North,2019-12-01,4.9
Richmond (Vic.),2019-12-01,5.2
Yarra - North,2019-12-01,4.1
Ashburton (Vic.),2019-12-01,4.7
Balwyn,2019-12-01,3.7
Balwyn North,2019-12-01,3.7
Camberwell,2019-12-01,2.7
Glen Iris - East,2019-12-01,2
Hawthorn,2019-12-01,3.2
Hawthorn East,2019-12-01,2.6
Kew,2019-12-01,3.1
Kew East,2019-12-01,3.6
Surrey Hills (West) - Canterbury,2019-12-01,2.9
Bulleen,2019-12-01,5.9
Doncaster,2019-12-01,6.7
Templestowe,2019-12-01,4
Templestowe Lower,2019-12-01,5.6
Doncaster East (North),2019-12-01,NA
Doncaster East (South),2019-12-01,NA
Blackburn,2019-12-01,5
Blackburn South,2019-12-01,6.7
Box Hill,2019-12-01,7.4
Box Hill North,2019-12-01,5.2
Burwood,2019-12-01,8.3
Burwood East,2019-12-01,6.2
Surrey Hills (East) - Mont Albert,2019-12-01,3.1
Beaumaris,2019-12-01,1.8
Brighton (Vic.),2019-12-01,1.6
Brighton East,2019-12-01,2.2
Cheltenham - Highett (West),2019-12-01,4.7
Hampton,2019-12-01,4.6
Sandringham - Black Rock,2019-12-01,2.6
Bentleigh - McKinnon,2019-12-01,3.1
Carnegie,2019-12-01,3.5
Caulfield - North,2019-12-01,2.9
Caulfield - South,2019-12-01,3.2
Elsternwick,2019-12-01,2.7
Hughesdale,2019-12-01,4.1
Murrumbeena,2019-12-01,3.1
Ormond - Glen Huntly,2019-12-01,3.8
Bentleigh East (North),2019-12-01,NA
Bentleigh East (South),2019-12-01,NA
Aspendale Gardens - Waterways,2019-12-01,3.3
Carrum - Patterson Lakes,2019-12-01,5.9
Chelsea - Bonbeach,2019-12-01,6.8
Chelsea Heights,2019-12-01,6.7
Cheltenham - Highett (East),2019-12-01,4.9
Edithvale - Aspendale,2019-12-01,4.1
